UF_CRM_1538728175196	DEAL	string	—
UF_CRM_1538728238762	DEAL	string	—
UF_CRM_1538728252471	DEAL	string	—
UF_CRM_1538728258081	DEAL	string	—
UF_CRM_1538728263731	DEAL	string	—
UF_CRM_1538728269909	DEAL	string	—
UF_CRM_1538728276066	DEAL	string	—
UF_CRM_1538728286642	DEAL	string	—
UF_CRM_1538728292007	DEAL	string	—
UF_CRM_1538729147	DEAL	enumeration	Тип помещения
UF_CRM_1539687636	DEAL	string	—
UF_CRM_1540548252	DEAL	string	—
UF_CRM_1540552899	DEAL	string	—
UF_CRM_1540553564	DEAL	string	—
UF_CRM_1540553594	DEAL	string	—
UF_CRM_1540554275	DEAL	string	—
UF_CRM_1540554740	DEAL	string	—
UF_CRM_1540554805	DEAL	string	—
UF_CRM_1540554822	DEAL	string	—
UF_CRM_1542270475	DEAL	string	—
UF_CRM_1542270499	DEAL	string	—
UF_CRM_1542270524	DEAL	string	—
UF_CRM_1542800812	DEAL	string	—
UF_CRM_1542800839	DEAL	string	—
UF_CRM_1542800844	DEAL	string	—
UF_CRM_1554371480174	DEAL	string	—
UF_CRM_1554440345378	DEAL	string	—
UF_CRM_1554441471323	DEAL	string	—
UF_CRM_1554441569076	DEAL	string	—
UF_CRM_1557008108	DEAL	string	—
UF_CRM_1557008119	DEAL	string	—
UF_CRM_1566371562	DEAL	string	—
UF_CRM_1566896313	DEAL	string	—
UF_CRM_1578484533	DEAL	string	—
UF_CRM_1579073932	DEAL	string	—
UF_CRM_1579079347	DEAL	string	—
UF_CRM_1579079421	DEAL	string	—
UF_CRM_1579601630	DEAL	string	—
UF_CRM_1579777690	DEAL	string	—
UF_CRM_1579779128	DEAL	string	—
UF_CRM_1580876455874	DEAL	string	—
UF_CRM_1580876464731	DEAL	string	—
UF_CRM_1580876531207	DEAL	string	—
UF_CRM_1581071847	DEAL	string	—
UF_CRM_1581509456929	DEAL	string	—
UF_CRM_1582005107	DEAL	string	—
UF_CRM_1582005750	DEAL	string	—
UF_CRM_1582008586983	DEAL	string	—
UF_CRM_1582012969	DEAL	string	—
UF_CRM_1582082289	DEAL	string	—
UF_CRM_1582091435	DEAL	string	—
UF_CRM_1584706806	DEAL	string	—
UF_CRM_1586152755	DEAL	string	—
UF_CRM_1591077995374	DEAL	string	—
UF_CRM_1593586909	DEAL	string	—
UF_CRM_1598874108	DEAL	string	—
UF_CRM_1599212908923	DEAL	string	—
UF_CRM_1599212940506	DEAL	string	—
UF_CRM_1619418611769	DEAL	string	—
UF_CRM_1619418745002	DEAL	string	—
UF_CRM_1619419271478	DEAL	money	Первоначальный взнос (портрет)
UF_CRM_1619419293422	DEAL	string	—
UF_CRM_1619419325995	DEAL	string	—
UF_CRM_1619419358548	DEAL	string	—
UF_CRM_1619419381158	DEAL	string	—
UF_CRM_1619419426779	DEAL	string	—
UF_CRM_1619419522421	DEAL	string	—
UF_CRM_1619419554637	DEAL	string	—
UF_CRM_1619419588171	DEAL	string	—
UF_CRM_1619435259403	DEAL	string	—
UF_CRM_1619515162085	DEAL	string	—
UF_CRM_1619618497873	DEAL	string	—
UF_CRM_1619692947	DEAL	string	—
UF_CRM_1619692983	DEAL	string	—
UF_CRM_1622183969	DEAL	string	—
UF_CRM_1622183995	DEAL	string	—
UF_CRM_1622184023	DEAL	string	—
UF_CRM_1626081681	DEAL	string	—
UF_CRM_1626763524972	DEAL	string	—
UF_CRM_1626853324790	DEAL	string	—
UF_CRM_1630396564387	DEAL	string	—
UF_CRM_1634903177	DEAL	string	—
UF_CRM_1638092857988	DEAL	string	—
UF_CRM_1638092976684	DEAL	string	—
UF_CRM_1638098562414	DEAL	string	—
UF_CRM_1638098621042	DEAL	string	—
UF_CRM_1638516174709	DEAL	string	—
UF_CRM_1639116266399	DEAL	string	—
UF_CRM_1639295741292	DEAL	string	—
UF_CRM_1640151193	DEAL	string	—
UF_CRM_1640151983	DEAL	string	—
UF_CRM_1640156227	DEAL	string	—
UF_CRM_1643109623	DEAL	string	—
UF_CRM_1644993988	DEAL	enumeration	Дополнительно
UF_CRM_1647340962	DEAL	string	—
UF_CRM_1647847963971	DEAL	string	—
UF_CRM_1647848029617	DEAL	string	—
UF_CRM_1647852416795	DEAL	string	—
UF_CRM_1648620318066	DEAL	string	—
UF_CRM_1648622722604	DEAL	string	—
UF_CRM_1649750063	DEAL	employee	Ответственный новой сделки
UF_CRM_1649752943	DEAL	string	—
UF_CRM_1649752988	DEAL	string	—
UF_CRM_1649753011	DEAL	string	—
UF_CRM_1649753040	DEAL	string	—
UF_CRM_1649753090	DEAL	string	—
UF_CRM_1649753119	DEAL	string	—
UF_CRM_1649753152	DEAL	string	—
UF_CRM_1649753176	DEAL	string	—
UF_CRM_1649753202	DEAL	string	—
UF_CRM_1650958148343	DEAL	string	—
UF_CRM_1650958311024	DEAL	string	—
UF_CRM_1650958359213	DEAL	string	—
UF_CRM_1650959214562	DEAL	string	—
UF_CRM_1653397101	DEAL	string	—
UF_CRM_1653456666850	DEAL	string	—
UF_CRM_1653457227797	DEAL	string	—
UF_CRM_1653457314150	DEAL	string	—
UF_CRM_1656057996	DEAL	string	—
UF_CRM_1656062400	DEAL	string	—
UF_CRM_1656935682167	DEAL	string	—
UF_CRM_1656935706386	DEAL	string	—
UF_CRM_1657001309	DEAL	string	—
UF_CRM_1657187469180	DEAL	string	—
UF_CRM_1657873213	DEAL	string	—
UF_CRM_1657873655	DEAL	string	—
UF_CRM_1657884727174	DEAL	string	—
UF_CRM_1657884761876	DEAL	string	—
UF_CRM_1657884785292	DEAL	string	—
UF_CRM_1657884802348	DEAL	string	—
UF_CRM_1657884827604	DEAL	string	—
UF_CRM_1657885780068	DEAL	string	—
UF_CRM_1658465868488	DEAL	string	—
UF_CRM_1658466069923	DEAL	string	—
UF_CRM_1658466137636	DEAL	string	—
UF_CRM_1658466192688	DEAL	string	—
UF_CRM_1658466222856	DEAL	string	—
UF_CRM_1658466242337	DEAL	string	—
UF_CRM_1658998576	DEAL	string	—
UF_CRM_1659005409074	DEAL	string	Возраст (портрет)
UF_CRM_1659005450720	DEAL	enumeration	Пол (портрет)
UF_CRM_1659007926721	DEAL	string	Город (портрет)
UF_CRM_1659008047015	DEAL	enumeration	Цель покупки (портрет)
UF_CRM_1659009682372	DEAL	enumeration	Семейное положение (портрет)
UF_CRM_1659074341994	DEAL	string	Дети (портрет)
UF_CRM_1659074512261	DEAL	string	Род деятельности (портрет)
UF_CRM_1659074620049	DEAL	string	Привлекательность (портрет)
UF_CRM_1659498442261	DEAL	string	—
UF_CRM_1659595292115	DEAL	string	—
UF_CRM_1659697660501	DEAL	string	—
UF_CRM_1659697771995	DEAL	string	—
UF_CRM_1660041810	DEAL	string	—
